Long Station Name,Collection Date,EC,Alkalinity,Sacramento X2,WYT,Location,Area
Rock Slough @ Old River,10/7/1992,849,72,92.45317986,C,OMR,Interior
Contra Costa PP Number 01,9/20/1994,935,72,92.37559029,C,OMR,Interior
Contra Costa PP Number 01,11/9/1994,988,72,92.63852791,AN,OMR,Interior
Contra Costa PP Number 01,4/6/2004,238,71,69.18983307,BN,OMR,Interior
Contra Costa PP Number 01,6/4/2002,330,71,69.35185908,D,OMR,Interior
Middle River @ Union Point - P10A,9/2/2008,387,71,88.7732302,C,OMR,Interior
Clifton Court Intake,3/20/1990,404,71,85.09103604,C,OMR,Interior
Middle River @ Union Point - P10A,11/4/2013,463,71,90.34617646,BN,OMR,Interior
Middle River @ Union Point - P10A,3/5/2007,485,71,58.91442023,D,OMR,Interior
Middle River @ Union Point - P10A,1/2/2007,490,71,80.23657174,D,OMR,Interior
Contra Costa PP Number 01,12/5/1996,688,71,78.03491703,W,OMR,Interior
Contra Costa PP Number 01,12/3/2003,724,71,87.61870823,AN,OMR,Interior
Contra Costa PP Number 01,1/23/1992,732,71,92.69366513,C,OMR,Interior
Old River North of Rock Slough (St 4b),1/29/1991,878,71,94.90599798,C,OMR,Interior
Contra Costa PP Number 01,10/3/2006,272,70,79.15994988,AN,OMR,Interior
Middle River @ Union Point - P10A,7/1/2008,318,70,84.87243383,C,OMR,Interior
Middle River @ Union Point - P10A,10/5/2010,340,70,83.98583932,D,OMR,Interior
Middle River @ Union Point - P10A,12/5/2006,341,70,88.65054031,W,OMR,Interior
Middle River @ Union Point - P10A,12/4/2007,348,70,87.28423839,D,OMR,Interior
Contra Costa PP Number 01,2/9/1994,388,70,80.94524586,C,OMR,Interior
Middle River at Bacon Island Bridge,6/22/1994,389,70,89.49535368,C,OMR,Interior
Middle River at Bacon Island Bridge,5/13/1993,411,70,61.911538,AN,OMR,Interior
Middle River @ Union Point - P10A,2/4/2019,411,70,#N/A,W,OMR,Interior
Middle River @ Union Point - P10A,10/7/2013,430,70,87.90258861,BN,OMR,Interior
Rock Slough @ Old River,6/22/1994,450,70,89.49535368,C,OMR,Interior
Middle River at Bacon Island Bridge,1/23/1992,455,70,92.69366513,C,OMR,Interior
