Long Station Name,Collection Date,EC,Ca,Sacramento X2,WYT,Location,Area
Middle River at Bacon Island Bridge,7/22/1992,527,18,92.3938467,C,OMR,Interior
Clifton Court Intake,2/14/1990,515,18,84.5852336,C,OMR,Interior
Old River North of Rock Slough (St 4b),6/28/1988,512,18,88.84197167,C,OMR,Interior
Middle River @ Union Point - P10A,12/2/2013,507,18,93.39492499,D,OMR,Interior
Middle River @ Union Point - P10A,1/2/2007,490,18,80.23657174,D,OMR,Interior
Clifton Court Intake,2/21/1990,472,18,80.12996718,C,OMR,Interior
Middle River at Bacon Island Bridge,6/11/1991,468,18,92.37007644,C,OMR,Interior
Middle River @ Union Point - P10A,11/4/2013,463,18,90.34617646,BN,OMR,Interior
Contra Costa PP Number 01,2/5/2008,462,18,54.87619201,C,OMR,Interior
Middle River @ Union Point - P10A,10/1/2008,461,18,88.30977329,D,OMR,Interior
Middle River at Bacon Island Bridge,8/6/1990,458,18,86.53798294,C,OMR,Interior
Middle River at Bacon Island Bridge,9/24/1992,458,18,92.85385013,C,OMR,Interior
Contra Costa PP Number 01,2/6/2007,456,18,79.89948567,D,OMR,Interior
Middle River @ Union Point - P10A,6/2/2014,436,18,93.56618111,C,OMR,Interior
Contra Costa PP Number 01,1/9/1997,427,18,31.8495819,W,OMR,Interior
Old River South of Rock Slough (St 5A),12/3/1981,423,18,52.53667998,D,OMR,Interior
Middle River @ Union Point - P10A,10/6/2009,411,18,87.99178837,C,OMR,Interior
Contra Costa PP Number 01,6/16/1994,407,18,86.55672415,C,OMR,Interior
Contra Costa PP Number 01,4/4/2000,391,18,70.46558651,AN,OMR,Interior
Contra Costa PP Number 01,2/9/1994,388,18,80.94524586,C,OMR,Interior
Contra Costa PP Number 01,5/2/2000,381,18,63.70366373,AN,OMR,Interior
Rock Slough @ Old River,2/17/1994,370,18,75.37363149,C,OMR,Interior
Middle River at Bacon Island Bridge,9/24/1990,368,18,90.82305445,C,OMR,Interior
Contra Costa PP Number 01,6/2/2008,366,18,81.73068377,C,OMR,Interior
Contra Costa PP Number 01,4/22/1992,362,18,77.19407905,C,OMR,Interior
Old River South of Rock Slough (St 5A),4/16/1982,348,18,0,W,OMR,Interior
Middle River @ Union Point - P10A,5/2/2007,346,18,74.44600721,D,OMR,Interior
Old River near Rock Slough,10/30/1959,345,18,83.58656463,W,OMR,Interior
