Long Station Name,Collection Date,EC,K,Sacramento X2,WYT,Location,Area
Contra Costa PP Number 01,6/6/2001,335,2.1,80.28545946,D,OMR,Interior
Middle River @ Union Point - P10A,10/5/2010,340,2.1,83.98583932,D,OMR,Interior
Contra Costa PP Number 01,4/4/2001,341,2.1,72.87905364,D,OMR,Interior
Contra Costa PP Number 01,5/12/1993,410,2.1,63.16142825,AN,OMR,Interior
Middle River @ Union Point - P10A,5/5/2014,483,2.1,87.63000727,C,OMR,Interior
Contra Costa PP Number 01,3/2/2004,500,2.1,49.65011755,BN,OMR,Interior
Contra Costa PP Number 01,4/1/2003,663,2.1,69.81194277,AN,OMR,Interior
Middle River @ Union Point - P10A,4/4/2011,247,2.2,0,W,OMR,Interior
Old River near Rock Slough,10/30/1959,281,2.2,83.58656463,W,OMR,Interior
Old River South of Rock Slough (St 5A),1/20/1983,281,2.2,63.15136317,W,OMR,Interior
Old River North of Rock Slough (St 4b),3/23/1993,288,2.2,56.65439542,AN,OMR,Interior
Middle River at Bacon Island Bridge,11/10/1993,293,2.2,87.72748074,C,OMR,Interior
Old River North of Rock Slough (St 4b),4/22/1992,325,2.2,77.19407905,C,OMR,Interior
Rock Slough @ Old River,3/24/1994,328,2.2,72.52425966,C,OMR,Interior
Middle River @ Union Point - P10A,2/7/2011,334,2.2,64.18410148,W,OMR,Interior
Middle River @ Union Point - P10A,10/2/2007,335,2.2,87.02852586,W,OMR,Interior
Middle River at Bacon Island Bridge,8/25/1994,336,2.2,90.48799198,C,OMR,Interior
Middle River @ Union Point - P10A,6/2/2009,336,2.2,74.90839371,D,OMR,Interior
Old River South of Rock Slough (St 5A),3/21/1983,338,2.2,0,W,OMR,Interior
Middle River @ Union Point - P10A,9/9/2009,345,2.2,84.37552482,D,OMR,Interior
Old River North of Rock Slough (St 4b),4/20/1994,348,2.2,78.884997,C,OMR,Interior
Rock Slough @ Old River,4/20/1994,357,2.2,78.884997,C,OMR,Interior
Middle River @ Union Point - P10A,5/5/2009,358,2.2,73.26168644,D,OMR,Interior
Old River South of Rock Slough (St 5A),5/12/1980,358,2.2,65.43895548,AN,OMR,Interior
Contra Costa PP Number 01,2/5/2002,385,2.2,70.70857903,D,OMR,Interior
Middle River @ Union Point - P10A,6/4/2007,399,2.2,80.25338455,D,OMR,Interior
Rock Slough @ Old River,10/20/1993,425,2.2,84.89979461,C,OMR,Interior
Contra Costa PP Number 01,10/11/1995,193,2.3,69.40952731,C,OMR,Interior
Old River South of Rock Slough (St 5A),3/21/1986,210,2.3,0,W,OMR,Interior
Old River South of Rock Slough (St 5A),2/29/1980,227,2.3,49.08867267,AN,OMR,Interior
Old River South of Rock Slough (St 5A),2/5/1982,275,2.3,58.92308216,W,OMR,Interior
Contra Costa PP Number 01,7/1/2008,287,2.3,84.87243383,C,OMR,Interior
Rock Slough @ Old River,3/23/1993,301,2.3,56.65439542,AN,OMR,Interior
Middle River at Bacon Island Bridge,12/15/1993,305,2.3,84.34978841,AN,OMR,Interior
Middle River at Bacon Island Bridge,1/12/1994,311,2.3,82.38546939,C,OMR,Interior
Middle River @ Union Point - P10A,12/1/2009,320,2.3,92.29828513,D,OMR,Interior
Clifton Court Intake,3/26/1992,321,2.3,68.43776556,C,OMR,Interior
Middle River at Bacon Island Bridge,9/10/1991,323,2.3,92.73110822,C,OMR,Interior
Contra Costa PP Number 01,6/4/2007,324,2.3,80.25338455,D,OMR,Interior
Rock Slough @ Old River,4/22/1992,330,2.3,77.19407905,C,OMR,Interior
Old River North of Rock Slough (St 4b),5/5/1992,331,2.3,86.61933596,C,OMR,Interior
Old River South of Rock Slough (St 5A),4/3/1981,360,2.3,60.26052112,D,OMR,Interior
Contra Costa PP Number 01,4/22/1992,362,2.3,77.19407905,C,OMR,Interior
Contra Costa PP Number 01,5/13/1997,363,2.3,71.63203277,W,OMR,Interior
Middle River @ Union Point - P10A,9/5/2007,364,2.3,85.25541551,D,OMR,Interior
Contra Costa PP Number 01,4/20/1994,375,2.3,78.884997,C,OMR,Interior
Middle River @ Union Point - P10A,10/4/2016,387,2.3,86.5637221,C,OMR,Interior
Contra Costa PP Number 01,9/10/2003,388,2.3,81.97587927,AN,OMR,Interior
Middle River at Bacon Island Bridge,6/22/1994,389,2.3,89.49535368,C,OMR,Interior
Rock Slough @ Old River,5/19/1994,395,2.3,76.51544974,C,OMR,Interior
Contra Costa PP Number 01,2/8/1996,397,2.3,47.52751567,W,OMR,Interior
Contra Costa PP Number 01,3/3/2003,591,2.3,60.574921,AN,OMR,Interior
Old River South of Rock Slough (St 5A),12/18/1981,254,2.4,56.1313435,D,OMR,Interior
