Long Station Name,Collection Date,EC,SO4,Sacramento X2,WYT,Location,Area
Middle River at Bacon Island Bridge,10/14/1993,295,31,84.61138109,C,OMR,Interior
Contra Costa PP Number 01,6/6/1996,277,31,61.33562885,W,OMR,Interior
Contra Costa PP Number 01,8/23/1994,703,30,91.93258472,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/20/1994,690,30,90.6143213,C,OMR,Interior
Contra Costa PP Number 01,11/3/2008,642,30,93.02142734,D,OMR,Interior
Clifton Court Intake,4/24/1990,532,30,86.79032173,C,OMR,Interior
Middle River at Bacon Island Bridge,7/22/1992,527,30,92.3938467,C,OMR,Interior
Clifton Court Intake,2/14/1990,515,30,84.5852336,C,OMR,Interior
Contra Costa PP Number 01,1/12/1994,482,30,82.38546939,C,OMR,Interior
Rock Slough @ Old River,6/22/1994,450,30,89.49535368,C,OMR,Interior
Middle River @ Union Point - P10A,4/6/2015,419,30,88.0123047,C,OMR,Interior
Middle River @ Union Point - P10A,3/2/2015,406,30,78.10690622,C,OMR,Interior
Contra Costa PP Number 01,2/9/1994,388,30,80.94524586,C,OMR,Interior
Contra Costa PP Number 01,6/4/2007,324,30,80.25338455,D,OMR,Interior
Middle River @ Union Point - P10A,4/2/2007,318,30,72.02877378,D,OMR,Interior
Contra Costa PP Number 01,1/10/1996,303,30,68.97868863,W,OMR,Interior
Contra Costa PP Number 01,6/4/1997,294,30,78.50514499,W,OMR,Interior
Middle River @ Union Point - P10A,8/3/2015,648,29,95.38511805,C,OMR,Interior
Contra Costa PP Number 01,12/16/1993,566,29,82.70555681,AN,OMR,Interior
Rock Slough @ Old River,3/20/1990,548,29,85.09103604,C,OMR,Interior
Contra Costa PP Number 01,4/22/1992,362,29,77.19407905,C,OMR,Interior
Clifton Court Intake,6/10/1993,301,29,57.844797,AN,OMR,Interior
Contra Costa PP Number 01,6/4/2003,293,29,66.71648137,AN,OMR,Interior
Middle River @ Union Point - P10A,3/13/2019,278,29,#N/A,W,OMR,Interior
Rock Slough at Delta Road Bridge,6/6/2011,259,29,57.57300551,W,OMR,Interior
Contra Costa PP Number 01,6/7/2005,256,29,54.24209382,AN,OMR,Interior
Rock Slough @ Old River,7/20/1994,692,28,90.6143213,C,OMR,Interior
Middle River @ Union Point - P10A,11/2/2015,675,28,93.88533024,C,OMR,Interior
Old River near Rock Slough,9/2/1959,644,28,91.96611223,BN,OMR,Interior
Rock Slough @ Old River,7/24/1991,596,28,92.78926842,C,OMR,Interior
