Long Station Name,Collection Date,EC,Na,Sacramento X2,WYT,Location,Area
Old River South of Rock Slough (St 5A),8/3/1981,553,70,85.40012999,D,OMR,Interior
Contra Costa PP Number 01,4/10/1995,635,69,50.51772825,W,OMR,Interior
Contra Costa PP Number 01,1/13/1993,633,69,64.09402935,AN,OMR,Interior
Middle River at Bacon Island Bridge,2/26/1991,610,69,94.34149831,C,OMR,Interior
Middle River @ Union Point - P10A,1/6/2014,601,69,92.33233742,C,OMR,Interior
Contra Costa PP Number 01,12/2/2008,574,69,92.75840841,C,OMR,Interior
Contra Costa PP Number 01,12/16/1993,566,69,82.70555681,AN,OMR,Interior
Old River North of Rock Slough (St 4b),10/10/1991,563,69,88.47167384,C,OMR,Interior
Rock Slough @ Old River,9/6/1989,552,69,85.82681958,D,OMR,Interior
Old River North of Rock Slough (St 4b),8/21/1991,551,69,88.57096592,C,OMR,Interior
Old River South of Rock Slough (St 5A),11/10/1981,545,69,88.94945498,AN,OMR,Interior
Middle River at Bacon Island Bridge,11/13/1990,625,68,93.89378554,D,OMR,Interior
Old River South of Rock Slough (St 5A),10/14/1981,557,68,89.11569229,AN,OMR,Interior
Rock Slough @ Old River,10/10/1991,554,68,88.47167384,C,OMR,Interior
Rock Slough @ Old River,7/31/1990,547,68,85.26138636,C,OMR,Interior
Contra Costa PP Number 01,1/8/2002,616,67,54.28372948,D,OMR,Interior
Middle River at Bacon Island Bridge,10/24/1990,585,67,94.04183083,D,OMR,Interior
Middle River at Bacon Island Bridge,8/4/1992,571,67,93.425676,C,OMR,Interior
Clifton Court Intake,7/12/1988,560,67,93.34172739,C,OMR,Interior
Rock Slough @ Old River,8/21/1991,550,67,88.57096592,C,OMR,Interior
Rock Slough @ Old River,9/17/1990,548,67,85.19881494,C,OMR,Interior
Old River North of Rock Slough (St 4b),9/17/1990,544,67,85.19881494,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/31/1990,533,67,85.26138636,C,OMR,Interior
Clifton Court Intake,1/7/1988,588,66,82.88953214,C,OMR,Interior
Rock Slough @ Old River,3/26/1991,567,66,72.01442228,C,OMR,Interior
Clifton Court Intake,12/5/1989,565,66,82.38805208,D,OMR,Interior
Rock Slough @ Old River,3/20/1990,548,66,85.09103604,C,OMR,Interior
Rock Slough @ Old River,8/7/1991,546,66,92.52821793,C,OMR,Interior
Old River North of Rock Slough (St 4b),8/7/1991,539,66,92.52821793,C,OMR,Interior
Old River North of Rock Slough (St 4b),9/11/1990,527,66,86.1336185,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/26/1990,524,66,86.56430395,C,OMR,Interior
Rock Slough @ Old River,1/23/1986,476,66,73.43685446,W,OMR,Interior
Middle River @ Union Point - P10A,1/6/2009,589,65,86.18470086,D,OMR,Interior
